Timestamp,Voltage
2024-06-26 09:57:38,97
2024-06-26 10:58:56,92
2024-06-26 11:49:32,82
2024-06-26 12:01:06,78
2024-06-26 12:55:00,61
2024-06-26 13:06:17,58
2024-06-26 14:05:23,41
2024-06-26 15:53:00,80
2024-06-26 18:14:03,42
2024-06-26 20:57:58,32
2024-06-27 00:33:20,84
2024-06-27 02:32:57,56
2024-06-27 03:54:23,76
2024-06-27 04:24:22,70
2024-06-27 05:04:30,61
2024-06-27 05:11:40,59
2024-06-27 06:20:42,42
2024-06-27 06:33:35,40
2024-06-27 06:54:47,38
2024-06-27 06:59:11,38
2024-06-27 15:25:52,92
2024-06-27 15:52:33,86
2024-06-27 18:33:25,44
2024-06-27 20:38:38,73
2024-06-27 23:03:49,36
2024-06-28 01:05:36,28
2024-06-28 11:30:29,88
2024-06-28 12:54:21,75
2024-06-28 14:02:50,58
2024-06-28 14:12:43,56
2024-06-28 14:51:30,47
2024-06-28 15:45:34,76
2024-06-28 16:06:10,71
2024-06-28 16:27:37,65
2024-06-28 16:34:28,63
2024-06-28 17:12:59,53
2024-06-28 17:29:10,48
2024-06-28 17:33:52,47
2024-06-28 17:47:21,44
2024-06-28 17:58:21,42
2024-06-28 18:36:34,36
2024-06-28 19:27:59,32
2024-06-28 22:25:48,97
2024-06-29 03:50:13,40
2024-06-29 05:25:14,81
2024-06-29 06:46:22,56
2024-06-29 08:19:37,41
2024-06-29 08:24:17,41
2024-06-29 09:03:19,38
2024-06-29 09:14:53,38
2024-06-29 13:41:25,91
2024-06-29 13:43:05,91
2024-06-29 17:07:21,66
2024-06-29 17:15:19,64
2024-06-29 19:05:52,38
2024-06-29 20:10:08,75
2024-06-29 22:01:29,47
2024-06-29 23:29:12,32
2024-06-30 06:06:24,88
2024-06-30 09:13:57,44
2024-06-30 11:38:31,66
2024-06-30 12:02:26,59
2024-06-30 12:27:44,48
2024-06-30 12:59:05,38
2024-06-30 13:19:27,33
2024-06-30 14:42:45,25
2024-06-30 14:48:48,25
2024-06-30 21:12:48,90
2024-06-30 22:30:04,82
2024-06-30 23:40:27,67
2024-06-30 23:41:16,67
2024-06-30 23:41:50,67
2024-07-01 00:19:14,60
2024-07-01 01:28:59,79
2024-07-01 02:52:33,65
2024-07-01 04:16:25,48
2024-07-01 04:22:29,47
2024-07-01 05:08:23,43
2024-07-01 13:06:07,85
2024-07-01 15:24:43,49
2024-07-01 15:36:32,46
2024-07-01 18:52:30,52
2024-07-01 19:37:52,43
2024-07-01 21:06:41,34
2024-07-01 21:27:52,33
2024-07-01 21:41:54,32
2024-07-01 23:42:30,94
2024-07-02 00:18:47,89
2024-07-02 02:25:16,61
2024-07-02 02:55:14,58
2024-07-02 04:09:19,75
2024-07-02 05:05:24,63
2024-07-02 06:50:43,40
2024-07-02 07:26:45,36
2024-07-02 15:08:41,93
2024-07-02 16:11:54,83
2024-07-02 16:22:21,81
2024-07-02 16:26:46,80
2024-07-02 17:10:45,70
2024-07-02 18:18:08,53
2024-07-02 18:54:59,43
2024-07-02 22:09:35,51
2024-07-02 22:16:44,48
2024-07-02 23:03:13,36
2024-07-02 23:18:04,34
2024-07-02 23:43:27,31
2024-07-02 23:48:57,30
2024-07-03 00:09:09,29
2024-07-03 00:13:15,29
